,breakdown,auc,disease,Age Range,Gender,fields
333,PD|60-70|Female|Non Carriers,0.5944952398906589,PD,60-70,Female,Blood
334,PD|60-70|Female|All,0.5733087086428552,PD,60-70,Female,Blood
335,PD|60-70|Female|All,0.5486074943121076,PD,60-70,Female,Blood
336,PD|60-70|All|Carriers,0.5699695442134005,PD,60-70,All,Blood
337,PD|60-70|All|Carriers,0.5702714765805503,PD,60-70,All,Blood
338,PD|60-70|All|Non Carriers,0.591401137265998,PD,60-70,All,Blood
339,PD|60-70|All|Non Carriers,0.5913509369209847,PD,60-70,All,Blood
340,PD|60-70|All|All,0.5647498025506923,PD,60-70,All,Blood
341,PD|60-70|All|All,0.5861964613827151,PD,60-70,All,Blood
342,PD|50-60|Male|Carriers,0.451530612244898,PD,50-60,Male,Blood
343,PD|50-60|Male|Carriers,0.5229591836734694,PD,50-60,Male,Blood
344,PD|50-60|Male|Non Carriers,0.559500328731098,PD,50-60,Male,Blood
345,PD|50-60|Male|Non Carriers,0.5154503616042078,PD,50-60,Male,Blood
346,PD|50-60|Male|All,0.5023390510135888,PD,50-60,Male,Blood
347,PD|50-60|Male|All,0.5491200712853643,PD,50-60,Male,Blood
348,PD|50-60|Female|Carriers,0.5314272211720227,PD,50-60,Female,Blood
349,PD|50-60|Female|Carriers,0.6238185255198487,PD,50-60,Female,Blood
350,PD|50-60|Female|Non Carriers,0.5379201378914105,PD,50-60,Female,Blood
351,PD|50-60|Female|Non Carriers,0.6511060040218328,PD,50-60,Female,Blood
352,PD|50-60|Female|All,0.552108843537415,PD,50-60,Female,Blood
353,PD|50-60|Female|All,0.5746938775510205,PD,50-60,Female,Blood
354,PD|50-60|All|Carriers,0.5973338203067933,PD,50-60,All,Blood
355,PD|50-60|All|Carriers,0.508400292184076,PD,50-60,All,Blood
356,PD|50-60|All|Non Carriers,0.4484589754269055,PD,50-60,All,Blood
